Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study,Citation,Includes Race?,Indigenous Variable Mentioned,"Indigenous Variables - included, excluded, aggregated",Aggregation variable,Reason,Number of Cities,Census Unit,Number of Census Units,Independent Variable,Dependent Variable,Result,Country
A multi-dimensional classification and equity analysis of an urban park system: A novel methodology and case study application,"Ibes, D.C.","This study introduces a novel, multidimensional methodology for empirically classifying urban parks according to their physical, land cover, and built features. An equity analysis compares the resulting park types to neighborhood social characteristics, statistically and spatially evaluating who has access to which kind of park. The process can be customized to the built, geographic, and social conditions and public policy goals of other cities, but is here applied to Phoenix, Arizona. The case study application provides a proof of concept, revealing the composition and distribution of various park types and demonstrating the utility and feasibility of the classification procedure and equity analysis. Results reveal five distinct park types in Phoenix - Suburban Amenity Parks, Green Mini Parks, Native Desert Preserves, Green Neighborhood Parks, and Urban Core Parks - each exhibiting a unique mix of physical, spatial, land cover, and built characteristics. The equity analysis highlights priority areas for park improvements, potential equity concerns, and phenomena for future research. A discussion section evaluates the results in light of previous research and suggests how findings can inform sustainable and just urban park policy, planning, and management. © 2015 Elsevier B.V.",2015,Landscape and Urban Planning,137,,122-137,10.1016/j.landurbplan.2014.12.014,#5019,Ibes 2015,"Ibes, 2015",,,,,,,,,,,,
Social inequalities in green exposure in small- and medium-sized U.S. cities: A mobility-based approach,"Jang, K.M.; Kim, J.","Background: Green space exposure has been considered essential for people's physical and mental health. Researchers have investigated uneven exposure to green space based on individuals' home locations, which may exacerbate health disparities. A mobility-based approach enables a more accurate assessment of green exposure in daily activity patterns. In addition, social inequalities may vary by geographical context and should be examined to address environmental justice concerns. Objective: Study objectives are twofold: to address methodological challenges in exposure assessment studies through mobility-based assessment of green exposure; and to explore whether mobility-based approach can better assess green exposure inequality than home-based measurement. Methods: We selected 25 small- and medium-sized U.S. cities as study sites, from which street-view images were collected along 50,823 walk-based commute trajectories. We applied a semantic segmentation technique to street-view images to estimate individual home- and mobility-based green exposure levels. Results: Results revealed that mobility-based green exposure significantly differs from home-based green exposure. Globally, wealthier individuals and non-minority groups experience significantly greater exposure to green space through both home- and mobility-based approaches compared to their counterparts. Locally, we found more nuanced pictures of green space inequalities when compared at the county level, suggesting locally varying relationships. Significance: This study suggests empirical evidence on how mobility-based measurements could help us assess inequality problems in exposure to urban green elements. Impact: Creating urban green corridors that comply with locally varying contexts can contribute to achieving equitable provision of green infrastructure for low-income and racially disadvantaged populations who have undesirable green exposure in their residential locations. © 2025 Elsevier Inc.",2025,Social Science Research,127,,,10.1016/j.ssresearch.2025.103142,#868,Jang 2025,"Jang & Kim, 2025",,,,,,,,,,,,
Urban vegetation and income segregation in drylands: A synthesis of seven metropolitan regions in the southwestern United States,"Jenerette, G.D.; Miller, G.; Buyantuev, A.; Pataki, D.; Gillespie, T.W.; Pincetl, S.","To better understand how urbanization affects the amount and timing of urban vegetation in drylands we investigated remotely sensed vegetation patterns across seven large metropolitan regions in the southwestern United States. We asked (1) how low density urban land cover differed from adjacent wildland grass, herb, and shrub land covers in both the amount of vegetation and the length of the growing season, (2) how neighborhood income affected patterns of vegetation within low density urban cover, and (3) how cities differed from one another in their vegetation patterns. We found that urbanization generally has a strong influence on vegetation compared to adjacent wildlands. In four of the metropolitan regions the cumulative enhanced vegetation index (EVI) and growing season length in low density developments were higher than grass, herb, and shrub land covers. Within all metropolitan regions, there was a significant socioeconomic effect where higher income areas had a higher cumulative EVI than lower income areas. The large differences in urban vegetation among cities were related to precipitation and total domestic water use. These findings help to identify how urbanization influences vegetation, with implications for the availability of ecosystem services and requirements for irrigation in hot dryland cities. © 2013 IOP Publishing Ltd.",2013,Environmental Research Letters,8,4,,10.1088/1748-9326/8/4/044001,#5269,Jenerette 2013,"Jenerette et al., 2013",,,,,,,,,,,,
Environmental equity and access to parks in Greater Montreal: an analysis of spatial proximity and potential congestion issues,"Jepson, V.; Apparicio, P.; Pham, T.-T.-H.","Past studies have shown that the distribution of parks is not always equitably distributed in urban areas, raising concerns about environmental equity and justice. Most of them have analyzed park access by using the closest walking network distance. However, access could also vary locally according to both supply (park area or facilities) and the potential demand (population surrounding the park) by using the enhanced two-step floating catchment area (E2SFCA) method. This study aims to verify the existence of environmental inequities for four population groups (children, seniors, low-income individuals, and visible minorities) according to park proximity and potential park congestion. To do so, three accessibility measures are calculated: closest park (shortest walking distance) and two gradient E2SFCA (hectares and facilities per inhabitants). We find higher potential park area and facility congestion in inner-city neighborhoods than in suburban municipalities. Generalized linear models and multinomial logistic regression analyses show no drastic degrees of inequity over Greater Montreal. However, visible minorities and low-income households are more prone to live closer to potentially highly congested parks both in terms of hectares and facilities. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",2025,Journal of Urbanism,18,3,534-552,10.1080/17549175.2022.2150271,#1043,Jepson 2025,"Jepson et al., 2025",,,,,,,,,,,,
The racial/ ethnic distribution of heat risk-related land cover in relation to residential segregation,"Jesdale, B.M.; Morello-Frosch, R.; Cushing, L.","Objective: We examined the distribution of heat risk-related land cover (HRRLC) characteristics across racial/ ethnic groups and degrees of residential segregation. Methods: Block group-level tree canopy and impervious surface estimates were derived from the 2001 National Land Cover Dataset for densely populated urban areas of the United States and Puerto Rico, and linked to demographic characteristics from the 2000 Census. Racial/ groups in a given block group were considered to live in HRRLC if at least half their population experienced the absence of tree canopy and at least half of the ground was covered by impervious surface (roofs, driveways, sidewalks, roads). Residential segregation was characterized for metropolitan areas in the United States and Puerto Rico using the multigroup dissimilarity index. Results: After adjustment for ecoregion and precipitation, holding segregation level constant, non-Hispanic blacks were 52% more likely (95% CI: 37%, 69%), non-Hispanic Asians 32% more likely (95% CI: 18%, 47%), and Hispanics 21% more likely (95% CI: 8%, 35%) to live in HRRLC conditions compared with non-Hispanic whites. Within each racial/ ethnic group, HRRLC conditions increased with increasing degrees of metropolitan area-level segregation. Further adjustment for home ownership and poverty did not substantially alter these results, but adjustment for population density and metropolitan area population attenuated the segregation effects, suggesting a mediating or confounding role. Conclusions: Land cover was associated with segregation within each group, which may be explained partly by the concentration of minorities into densely populated neighborhoods within larger, more segregated cities. In anticipation of greater frequency and duration of extreme heat events, climate change adaptation strategies, such as planting trees in urban areas, should explicitly incorporate an environmental justice framework that addresses racial/ ethnic disparities in HRRLC.",2013,Environmental Health Perspectives,121,7,811-817,10.1289/ehp.1205919,#5226,Jesdale 2013,"Jesdale et al., 2013",,,,,,,,,,,,
Leveling the playing field? Urban disparities in funding for local parks and recreation in the Los Angeles region,"Joassart-Marcelli, P.","Access to parks and recreational facilities, as well as their quality, congestion, and affordability, relates to physical activity levels and, in turn, various health outcomes. Yet park and recreational resources are often insufficient and unevenly distributed within metropolitan regions. This paper documents and analyzes the allocation of federal, state, special district, munic-ipal, and nonprofit resources to parks and recreation facilities across municipalities within the Los Angeles region. Results indicate that local funding for parks and recreation resources is highly uneven (from less than $1 to over $500 per capita annually). Because most park and recreation spending originates at the local level, fiscally healthier cities allocate more resources to these uses. State and nonprofits funds tend to favor middle-income communities and fail to equalize spending. Inner-ring suburbs with large minority populations, and low-income exurban communities are most likely to suffer from low expenditure. Federal devolution, increased localization of service provision, and limited inter-governmental transfers have resulted in large intrametropolitan disparities in the distribution of resources for parks and recreation, ultimately shaping the landscape of health risks for local populations. © 2010 Pion Ltd and its Licensors.",2010,Environment and Planning A,42,5,1174-1192,10.1068/a42198,#5483,Joassart-Marcelli 2010,"Joassart-Marcelli, 2010",,,,,,,,,,,,
Disparities in physical activity resource availability in six US regions,"Jones, SA; Moore, LV; Moore, K; Zagorski, M; Brines, SJ; Roux, AVD; Evenson, KR","Objective. We conducted an ecological study to determine physical activity resource availability overall and by sociodemographic groups in parts of six states (CA, IL, MD, MN, NC, NY).Methods. Data on parks and recreational facilities were collected from 3 sources in 2009-2012. Three measures characterized park and recreational facility availability at the census tract level: presence of resource, number of resources, and >= 1 resource kernel density. Associations between resource availability and census tract characteristics (predominant racial/ethnic group, median income, and proportion of children and older adults) were estimated using linear, binomial, and zero-inflated negative binomial regression in 2014. Pooled and stratified analyses were conducted.Results. The study included 7139 census tracts, comprising 9.5% of the 2010 US population. Overall the availability of parks and recreational facilities was lower in predominantly minority relative to non-Hispanic white census tracts. Low-income census tracts and those with a higher proportion of children had an equal or greater availability of park resources but fewer recreational facilities. Stratification revealed substantial variation in resource availability by site.Conclusion. The availability of physical activity resources varied by sociodemographic characteristics and across regions. Improved knowledge of resource distribution can inform strategies to provide equitable access to parks and recreational facilities. (C) 2015 Elsevier Inc. All rights reserved.",2015,PREVENTIVE MEDICINE,78,,17-22,10.1016/j.ypmed.2015.05.028,#7103,Jones 2015,"Jones et al., 2015",,,,,,,,,,,,
Legacies of redlining lead to unequal cooling effects of urban tree canopy,"Jung, M.C.; Yost, M.G.; Dannenberg, A.L.; Dyson, K.; Alberti, M.","Redlining—a racially discriminatory policy of systematic disinvestment established by the Home Owners’ Loan Corporation (HOLC) in the 1930s and continued until the late 1960s—still influences the contemporary landscape of cities in the US. While the heterogeneous distribution of land surface temperature and tree canopy cover between neighborhoods with different HOLC grades have been recently examined, the development of long-term and city-specific heat management strategies is still limited. Here, we explored the effect of redlining in Portland, Oregon, and Philadelphia, Pennsylvania, to assess its contemporary impact on climate equity. We performed a change analysis of land surface temperature and tree canopy area over the past and introduced mixed-effects models to test the intra- and inter-city differences in canopy cooling effects between the different HOLC grades. We found that (1) persistent temporal patterns of lower land surface temperatures and larger tree canopy areas are observed in higher HOLC grades, (2) greater green equity was achieved through contrasting temporal changes in tree canopy areas across HOLC grades in Portland and Philadelphia, and (3) opposite patterns exist between these cities, with stronger canopy cooling effects in neighborhoods with a Low HOLC grade in Portland and those with a High HOLC grade in Philadelphia. Differences in tree canopy change between the two cities over the past decade highlight potential influences of city-specific tree planting practices. Local planners should back tree planting initiatives to equitably mitigate urban heat exposure, considering historical redlining contexts and contemporary landscape features. © 2024 Elsevier B.V.",2024,Landscape and Urban Planning,246,,,10.1016/j.landurbplan.2024.105028,#1761,Jung 2024,"Jung et al., 2024",,,,,,,,,,,,
Investigating Socioeconomic Disparities in Park Access Across Two Southeastern US Cities Using a Unique Park Metric: An Ecological Analysis,"Kaczynski, A.T.; Wende, M.E.; Schipperijn, J.; Hughey, S.M.; Stowe, E.W.; Hipp, J.A.; Hesam Shariati, F.; Koohsari, M.J.","Purpose: This study aimed to demonstrate how ParkIndex values can be used to examine issues related to composite park access, and to investigate whether ParkIndex scores for block groups were significantly different by income, race/ethnicity, and population density. Design: Cross-sectional, environmental justice analysis of spatial disparities. Setting: Greenville County, South Carolina, and Raleigh, North Carolina. Subjects: Park access and quality data were collected for a total of 507 block groups across the study setting. Measures: For all study block groups, we empirically derived a multi-dimensional park access metric called ParkIndex representing the probability of park use based on three park availability and quality indicators. Block group median household income, race/ethnicity, and population density were obtained from the US Census Bureau’s American Community Survey. Analysis: Choropleth maps were used to juxtapose ParkIndex values and neighborhood sociodemographic attributes. Analysis of variance was conducted to examine differences in ParkIndex values by multiple sociodemographic variables. Results: No significant differences in ParkIndex values were found by median household income (F = 0.15,P = .86), percent non-Hispanic White race/ethnicity (F = 0.22,P = .80), or population density (F = 0.70,P = .50). Conclusion: The current study contributes to the fast-growing body of literature examining whether access to quality parks is equitably distributed in diverse locations. Future research can investigate the utility and generalizability of this composite metric to identify and mitigate potential environmental injustices and health disparities. © The Author(s) 2025. This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page (https://us.sagepub.com/en-us/nam/open-access-at-sage).",2025,American Journal of Health Promotion,,,,10.1177/08901171251380848,#1191,Kaczynski 2025,"Kaczynski et al., 2025",,,,,,,,,,,,
"Disparities in park availability, features, and characteristics by social determinants of health within a U.S.-Mexico border urban area","Kamel, A.A.; Ford, P.B.; Kaczynski, A.T.","Objective: To examine disparities in park availability, features, and characteristics by income and the percentage of foreign-born population within a predominately-Hispanic border community. Methods: This study occurred in 2010-2011 in El Paso, Texas. All census tracts (n = 112) were categorized as low, medium, or high income and percent foreign-born. The number of parks intersecting each tract was determined using ArcGIS and park features (facilities, amenities) and characteristics (aesthetic features, park and neighborhood quality/safety concerns) were assessed via park audits (n = 144). Analysis of variance and Kruskal-Wallis tests examined differences across income and percent foreign-born tertiles for all park measures. Results: The medium income tertile had more parks than the high tertile, and more park facilities than the low or high tertiles, but no differences in park amenities were observed across income groups. As well, none of park availability, facilities, or amenities differed across percent foreign-born tertiles. Finally, parks in the high income tertile had significant fewer park and neighborhood quality/safety concerns and parks in the high percent foreign-born tertile had significantly greater park and neighborhood quality/safety concerns. Conclusion: Identifying disparities in park availability, features, and characteristics can aid policymakers and citizens in improving the contribution of parks to community health for all. © 2014 Elsevier Inc.",2014,Preventive Medicine,69,S,S111-S113,10.1016/j.ypmed.2014.10.001,#5077,Kamel 2014,"Kamel et al., 2014",,,,,,,,,,,,
Green space access and visitation disparities in the phoenix metropolitan area,"Kim, Y.; Corley, E.A.; Won, Y.; Kim, J.","Previous green space equity studies have relied on access measures, such as the distance to, number of, or size of green spaces and have produced mixed results on green space disparities in the U.S. While the benefits of green spaces can be fulfilled when people visit them, attention to the differential use of green spaces has been less common. We examined green space inequalities using traditional access measures in order to understand which group has lower access to local parks and then investigated which urban residents visit local parks more using SafeGraph's mobility data. We found that the Phoenix metro area experiences green space access disparities by age group and (partially) income rather than by race and ethnicity. Access to local parks consistently decreased as the percentage of the elderly population increased in a neighborhood. However, the visit to local parks consistently increased as the percentage of children and the elderly increased. We discuss the implications of our findings for urban planning. © 2023",2023,Landscape and Urban Planning,237,,,10.1016/j.landurbplan.2023.104805,#2352,Kim 2023,"Kim et al., 2023",,,,,,,,,,,,
"Race, poverty, and space: A spatial intersectional approach to equity of urban park access","Kim, J.; Kim, C.; Lee, S.; Jeong, J.Y.","While earlier studies of environmental justice have empirically assessed in(equity) in urban park access, they have typically considered race/ethnicity and wealth factors separately as determinants of (in)equitable urban park access. However, this approach ignores the intersectional socioeconomic categories when identifying marginalized groups. Furthermore, there has been little research that visualized the spatially heterogeneous (in)equity of access to urban parks from an intersectional perspective on sociodemographic categories across communities. To address these research gaps, this study examined the spatially heterogeneous intersectionality of the socioeconomic categories of race and poverty (e.g., White poverty, African American poverty, and Asian poverty), in terms of access to urban parks across 784 census tracts in the Detroit Metropolitan Area. The findings showed that African American and Asian poverty groups had equitable access to urban parks. Furthermore, spatially heterogeneous (in)equitable urban park access was observed among intersectional minority groups. Such findings can be useful for park administrators in the Detroit Metropolitan Area seeking to distribute resources to neighborhoods that need increased access to urban parks. © 2024 Elsevier Ltd",2024,Cities,147,,,10.1016/j.cities.2024.104819,#1850,Kim 2024,"Kim et al., 2024",,,,,,,,,,,,
"Preferring Local over Non-Local Parks? Green Space Visit Patterns by Urban Residents in Desert Cities, Arizona","Kim, J.; Won, Y.; Kim, Y.; Corley, E.","This study investigates whether residents in urban neighborhoods use nearby green spaces more frequently than distant ones. Using mobile phone tracking data from 2019, we analyzed visitation patterns to green spaces within walking distance of residence (i.e., local parks) in the Phoenix-Mesa urbanized area, Arizona, USA. Key findings include: (1) about 40% of neighborhoods with available local parks did not prioritize local park use, (2) both accessibility measures and neighborhood social composition were significantly associated with frequent local park use by residents, and (3) the association between the percentage of Hispanic residents and local park use varied non-linearly based on access to local parks (proximity and average size). We conclude by discussing the implications of these findings for urban green space planning and equity considerations. © 2024 Elsevier B.V.",2025,Landscape and Urban Planning,256,,,10.1016/j.landurbplan.2024.105292,#801,Kim 2025,"Kim et al., 2025a",,,,,,,,,,,,
Connecting park access and use data for equitable environmental planning,"Kim, Y.; Kim, J.; Won, Y.; Nelson, J.; Stuhlmacher, M.","To ensure equity in the provisioning of urban green spaces, both how green spaces are distributed (i.e., access) as well as whether residents are utilizing them (i.e., use) needs to be considered simultaneously. Yet, few green space equity studies have considered both access and use together, and the fragmented literature provides only a partial view of each. This disconnection partly lies in challenges in integrating disparate “access” and “use” datasets. Using the Phoenix-Mesa urbanized area in Arizona as a case study, we present the conceptual and data challenges we have encountered when linking park access using the Trust for Public Land dataset with park usage measured from large scale human mobility datasets (SafeGraph, now Advan). We then show how the choices of data integration can affect findings of green space equity in the study area. In this paper, we enumerate the data and analytical issues encountered, illustrate research opportunities that the data integration provides for green space equity analyses, and discuss the implications of our findings for equitable environmental planning and policy. © The Author(s) 2025",2025,Environment and Planning B: Urban Analytics and City Science,,,,10.1177/23998083251366735,#1090,Kim 2025,"Kim et al., 2025b",,,,,,,,,,,,
Changes in the relationship between Index of Concentration at the Extremes and U.S. urban greenspace: a longitudinal analysis from 2001–2019,"Kitch, J.C.; Nguyen, T.T.; Nguyen, Q.C.; Hswen, Y.","Urban greenspace is associated with a wide variety of human health benefits, from improved mental health to reduced violent crime and infant birth outcomes. This study investigates long-term trends in the distribution of greenspace across census tracts in the 260 U.S. cities with populations greater than 100,000 residents based on economic privilege and deprivation. Satellite-acquired Normalized Difference Vegetation Index (NDVI) images were used as a measure of greenspace, and the Index of Concentration at the Extremes (ICE) was used as a measure spatial social polarizations of deprived and priveliged populations. From 2001 to 2019, the most privileged, highest ICE quintile census tracts had both the highest mean NDVI and experienced a significantly greater increase in greenspace than the least privileged tracts, indicating that the disparity in greenspace access is widening. Public greenspace initiatives need to focus on programs that are more equitable across the spectrum of economic strata to reduce urban health disparities and address concerns of environmental justice. © 2023, The Author(s).",2023,Humanities and Social Sciences Communications,10,1,,10.1057/s41599-023-02115-w,#2196,Kitch 2023,"Kitch et al., 2023",,,,,,,,,,,,
Inequality in the Delivery of Urban Services: A Reconsideration of the Chicago Parks,"Koehler, D.H.; Wrightson, M.T.","The literature on urban services delivery supports the conclusion that the distribution of services is a function of bureaucratic norms and professionalism, and is largely impervious to political forces. A recent study (Mladenka, 1980) of the distribution of park facilities in Chicago showed essentially no relationship to city politics, in terms of race. Some feel that this study provides the evidence necessary to finalize the conclusion that the distribution of urban services is independent from political considerations. In this paper, we reexamine the Chicago Parks case study. First, it is shown that using a similar research design it is possible to replicate the 1980 findings. Next, it is shown that the results are equally attributable to exogenous variables which were not considered in the earlier study, and which have generally been overlooked in research on this subject. Finally, a regression model is estimated to test several competing explanations of urban services distribution. The results show that efficiency and politics are independently significant explanatory factors in the distribution of park facilities, while equity is not. At least in Chicago, there is impressive evidence that some urban service delivery is highly responsive to political considerations as well as bureaucratic professionalism. © 1987, Southern Political Science Association. All rights reserved.",1987,Journal of Politics,49,1,80-99,10.2307/2131135,#5818,Koehler 1987,"Koehler & Wrightson, 1987",,,,,,,,,,,,
Uniting geospatial assessment of neighborhood urban tree canopy with plan and ordinance evaluation for environmental justice,"Kolosna, C.; Spurlock, D.","Trees are not evenly distributed across urbanized areas and there is evidence that Black, Hispanic, and low-income residents have lower proximal tree canopy coverage. The complex interplay between social policy and the built/physical environment contributes to these outcomes, but much of the research on environmental justice focuses on either producing evidence of inequity or assessing policy to determine its effect on the physical environment. This paper attempts to unite those two approaches by 1)measuring the urban tree canopy (UTC)at a scale that reflects local socio-political decision making and 2)assessing how the local policy documents regulating UTC acknowledge and attempt to remediate disparity. A maximum likelihood supervised classification of 1-m resolution imagery for a purposive sample of twelve historically racially segregated neighborhoods in two North Carolina cities estimated UTC at the block level. Using a spatial autoregressive model, we found a statistically significant negative association between UTC coverage, percentage of non-White population, the presence of nonresidential zoning, and percentage of parcel within the right-of-way. Content analysis found the municipal comprehensive plans and development management ordinances lack city-wide canopy coverage goals, do not utilize neighborhood geographies to target action and evaluation, and do not account for, or attempt to reduce, the potential inequitable distribution of urban trees. Existing policies could further contribute to disparate UTC outcomes by allowing neighborhoods to create their own UTC coverage standards and by crafting ordinances with variable standards for neighborhoods with non-residential zones. As a result, communities unable to counteract intensive zoning and/or advocate for enhanced tree canopy provisions are at a disadvantage in the remediation of UTC disparities. These findings highlight the need for analytical approaches that integrate the identification of disparities with the evaluation of present-day policy frameworks that may perpetuate and/or exacerbate inequitable outcomes. © 2018 Elsevier GmbH",2019,Urban Forestry and Urban Greening,40,,215-223,10.1016/j.ufug.2018.11.010,#4350,Kolosna 2019,"Kolosna & Spurlock, 2019",,,,,,,,,,,,
Environmental Equity and Spatiotemporal Patterns of Urban Tree Canopy in Atlanta,"Koo, B.W.; Boyd, N.; Botchwey, N.; Guhathakurta, S.","While previous studies in environmental equity found positive relationships between tree canopy and socioeconomic/demographic status of neighborhoods, few examined how changes in tree canopy are associated with changes in socioeconomic/demographic status. This study confirms that the relationship between them in Atlanta is changing and the hypothesis of inequitable distribution of tree canopy concerning demographic attributes cannot be fully supported beyond 2000. In addition, the proportion of African Americans can have different effects on the estimated tree canopy as poverty rates vary. Planning to mitigate environmental inequities through tree plantings requires more careful analysis that goes beyond the socioeconomic/demographic attributes of the population. © The Author(s) 2019.",2023,Journal of Planning Education and Research,43,1,166-181,10.1177/0739456X19864149,#2564,Koo 2023,"Koo et al., 2023",,,,,,,,,,,,
Street trees and equity: Evaluating the spatial distribution of an urban amenity,"Landry, S.M.; Chakraborty, J.","While urban disamenities and pollution sources have received considerable attention in environmental justice research, few studies have examined sociospatial inequities associated with the distribution of desirable land uses. In this paper we focus on addressing this limitation by investigating the environmental equity implications of street trees - an important publicly financed amenity that provides several direct and indirect benefits to urban residents. The specific objective was to determine if the spatial distribution of public right-of-way trees is equitable with respect to race and ethnicity, income, and housing tenure in the city of Tampa, Florida, USA. We seek to extend research on equity analysis of urban amenities through several methodological innovations, including: (a) accounting for the heterogeneity of urban land use; (b) utilizing high-resolution remote sensing techniques to quantify parcel-specific tree cover; and (c) using multivariate regression models that control for spatial dependence within the data. The results support the inequity hypothesis by indicating a significantly lower proportion of tree cover on public right-of-way in neighborhoods containing a higher proportion of African-Americans, low-income residents, and renters. These findings have important implications for local public investment and policy strategies. © 2009 Pion Ltd.",2009,Environment and Planning A,41,11,2651-2670,10.1068/a41236,#5541,Landry 2009,"Landry & Chakraborty, 2009",,,,,,,,,,,,
Heat-moderating effects of bus stop shelters and tree shade on public transport ridership,"Lanza, K.; Durand, C.P.","Rising temperatures threaten the resilience of public transit systems. We determined whether bus stop shelters and tree canopy surrounding bus stops moderated the effect of warm season temperatures on ridership in Austin, Texas, and whether shelters and trees were equitably distributed. For bus stops (n = 2271) of Capital Metropolitan Transportation Authority, boardings per bus were measured 1 April-30 September 2019. Air temperature data originated from the Camp Mabry weather station. Tree canopy was calculated by classification of high-resolution aerial imagery from the National Agriculture Imagery Program. Data on race, ethnicity, poverty level, median age, and bus commuters within census tracts of bus stops originated from the 2014-2018 American Community Survey. Using multilevel negative binomial regression models, we found that shelters did not moderate the effect of high temperatures on ridership (p > 0.05). During high temperatures, each one-percent increase in tree canopy was associated with a lesser decrease (1.6%) in ridership compared to if there were no trees (1.7%) (p < 0.001). In general, shelters and trees were equitably distributed. Insignificant or modest effects of shelters and trees on ridership during high temperatures may be attributed to the transit dependency of riders. For climate change adaptation, we recommend tree planting at bus stops to protect from ridership losses and unhealthy exposure to extreme heat. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,International Journal of Environmental Research and Public Health,18,2,15-Jan,10.3390/ijerph18020463,#3686,Lanza 2021,"Lanza & Durand, 2021",,,,,,,,,,,,
"How race, ethnicity, and income moderate the relationship between urban vegetation and physical activity in the United States","Lanza, K.; Stone, B.; Haarda�rfer, R.","To facilitate physical activity interventions, researchers identify which factors associate with physical activity, such as vegetation levels of the surrounding environment. While most studies examining vegetation and physical activity find a positive correlation, the literature does not investigate how vegetation may have a varied effect on physical activity based on demographic composition. This study examined how race, ethnicity, and income moderate the relationship between both non-tree vegetation and tree canopy on the percentage of individuals participating in leisure-time physical activity per census tract. Physical activity data from 2013 to 2014 for 7842 census tracts across 25 US cities originated from the CDC's 500 Cities project. Aerial images from the USDA's National Agriculture Imagery Program were used to classify vegetation levels per tract. Demographic variables originated from the American Community Survey 2011–2015 5-year estimates. Tracts were stratified into four types (Black + low income, Hispanic + low income, White + high income, and remaining) and assessed through multilevel modeling as to whether tract type moderated the relationship between vegetation and physical activity. Results showed that non-tree vegetation negatively associated with physical activity across all census tract types, while tree canopy exhibited a mixed association with physical activity, based on tract type. These findings can spur further research into how vegetation impacts physical activity of different demographic groups, and potentially inform greenspace and tree planting installments in those areas at greatest risk for physical inactivity-related diseases. © 2019 Elsevier Inc.",2019,Preventive Medicine,121,,55-61,10.1016/j.ypmed.2019.01.022,#4345,Lanza 2019,"Lanza et al., 2019",,,,,,,,,,,,
Disparities in the provision of public parks in neighbourhoods with varied Latino composition in the Phoenix Metropolitan Area,"Lara, F.; Garcia, H.","This article examines the provision of public parks in Latino and non-Latino neighbourhoods in the Phoenix Metropolitan Area. Though previous research has examined the socio-spatial distribution of urban parks, few have analysed both accessibility and variations in park features associated with the Latino composition of neighbourhoods. In this study, geographical information systems were employed to assess the availability and accessibility of neighbourhood parks, and Google Earth was used to audit their natural and built environmental features. Analysis of variance (ANOVA) with Games-Howell post hoc test was applied to examine the hypothesis that park resources are not equitably distributed across neighbourhoods, and that Latino places are disproportionally affected by a suboptimal provision of park space and services. The analysis points to invariance across neighbourhoods in terms of quantity and features of public parks, so the expected systemic pattern of inequality affecting Latino neighbourhoods in Phoenix Metro was not found. The study suggests, however, some areas wherein cities in the Phoenix Metropolitan Area could act to improve the allocation of public park resources and engage the diversity of local populations. © 2018 Informa UK Limited, trading as Taylor & Francis Group.",2018,Local Environment,23,12,1107-1120,10.1080/13549839.2018.1528443,#4633,Lara 2018,"Lara & Garcia, 2018",,,,,,,,,,,,
"Investigation of the Microenvironment, Land Cover Characteristics, and Social Vulnerability of Heat-Vulnerable Bus Stops in Knoxville, Tennessee","Lee, S.; First, J.M.","The urban heat island is a climate, public health, and environmental justice issue. Sustainable urban infrastructure needs improvements in public transport to protect citizens’ health from the urban heat island. This case study investigates the local microenvironment and social vulnerability of heat-vulnerable bus stops in Knoxville, Tennessee, using publicly available data from a variety of sources. These included ground and satellite measurements of heat and humidity from the Knoxville Heat Mapping Campaign, characteristics of land surface from the National Land Cover Dataset 2019 of the United States Geological Survey, and the 2018 Social Vulnerability Index from the U.S. Centers for Disease Control and Prevention. A geographic information system and a principal component analysis were used to identify social vulnerability in areas where the bus stops are located. The results show that most heat-vulnerable bus stops are poor microenvironments without trees and shelters. The hottest bus stops are concentrated in the highly developed and densely populated areas of West Knoxville and downtown Knoxville and in South, North, Northeast, and Northwest Knoxville, which are relatively high vulnerability clustered and have poor public infrastructure. The findings provide the foundation for mitigation strategies to better prepare local communities for climate change by identifying public transportation areas negatively impacted by the urban heat island. © 2023 by the authors.",2023,Sustainability (Switzerland),15,14,,10.3390/su151410866,#2399,Lee 2023,"Lee & First, 2023",,,,,,,,,,,,
